NumID,Player ID,SearchID,Last Name,First Name,Birthplace,Height,Weight,Bats,Throws,Position,BirthYear,BirthMonth,BirthDay
0,,100001,Yamamoto,Eiichiro,Japan,157,58,Right,Right,Right fielder,1902,3,8
1,,100002,Nagasawa,Fujio,Japan,173,75,Right,Right,First baseman,1904,9,13
2,,100003,Onuki,Ken,Japan,168,56,Right,Right,Left fielder,1906,3,10
3,,100004,Kinoshita,Hiroki,China,175,68,Right,Right,Pitcher,1907,1,1
4,,100005,Horio,Fumihito,United States,177,71,Switch,Right,Center fielder,1907,3,15
5,,100006,Yamashita,Minoru,Japan,173,78,Left,Left,First baseman,1907,3,20
6,,100007,Ito,Katsuzo,Japan,163,53,Right,Right,First baseman,1907,5,14
7,,100008,Miyatake,Saburo,Japan,170,75,Right,Right,First baseman,1907,7,23
8,,100009,Kuroda,Kengo,Japan,168,60,Right,Right,Third baseman,1907,10,28
9,,100010,Takahashi,Yoshio,United States,171,71,Right,Right,Second baseman,1908,2,19
10,,100011,Wakabayashi,Tadashi,United States,175,78,Right,Right,Pitcher,1908,3,1
11,,100012,Masu,Kaichi,Japan,170,60,Right,Right,Center fielder,1908,3,8
12,,100013,Shima,Hidenosuke,Japan,163,60,Right,Right,Center fielder,1908,6,21
13,,100014,Tsuda,Shiro,Japan,163,62,Right,Right,Third baseman,1908,9,6
14,,100015,Harris,Bucky,United States,,,Right,Right,Catcher,1908,9,25
15,,100016,Matsuki,Kenjiro,Japan,173,78,Left,Left,First baseman,1909,1,22
16,,100017,Nakajima,Haruyasu,Japan,175,73,Right,Right,Right fielder,1909,6,28
17,,100018,North,Herbert,United States,180,0,Right,Right,Pitcher,1910,1,12
18,,100019,Karita,Hisanori,Japan,170,66,Right,Right,Second baseman,1910,1,19
19,,100020,Nakamura,Teruo,Japan,170,64,Left,Right,Catcher,1910,1,20
20,,100021,Matsuura,Kazuyoshi,United States,,,Right,Right,Pitcher,1910,2,11
21,,100022,Kimata,Takeo,Japan,163,58,Right,Right,Left fielder,1910,5,14
22,,100023,Aoki,Kozo,Japan,170,64,Right,Right,Left fielder,1910,6,10
23,,100024,Mizutani,Norikazu,Japan,163,68,Right,Right,Right fielder,1910,9,1
24,,100025,Nakane,Susumu,Japan,170,60,Left,Right,Right fielder,1910,9,21
25,,100026,Kura,Nobuo,Japan,170,56,Right,Right,Catcher,1910,10,14
26,,100027,Ogawa,Toshiyasu,Japan,168,73,Right,Right,Catcher,1911,1,1
27,,100028,Kawamura,Tokuhisa,Japan,165,64,Right,Right,Third baseman,1911,4,25
28,,100029,Furuya,Kuranosuke,Japan,170,60,Right,Right,Pitcher,1911,5,14
29,,100030,Murakawa,Yukinobu,Japan,165,60,Right,Right,Catcher,1911,6,7
30,,100031,Nomura,Minoru,Japan,163,56,Right,Right,Second baseman,1911,7,10
31,,100032,Hiramasu,Toshio,Japan,168,60,Right,Right,Center fielder,1911,7,19
32,,100033,Takeda,Sukekazu,Japan,,,Right,Right,Pinch Hitter,1911,9,2
33,,100034,Hirakawa,Kiyomi,United States,182,68,Right,Right,Pitcher,1912,1,3
34,,100035,Maekawa,Hachiro,Japan,170,60,Right,Right,Pitcher,1912,4,1
35,,100036,Yamashita,Koichi,Japan,175,71,Right,Right,Left fielder,1912,4,17
36,,100037,Maeda,Kiyoshi,Japan,,,Right,Right,Left fielder,1912,4,20
