SearchID,Year,League,Team,Role,G,W,L,SV,HLD,HP,CG,SHO,WL%,BF,IP,H,HR,BB,HB,SO,WP,BK,R,ER,ERA,stint,GS,K%,BB%,HR%,BABIP,LOB%,IBB,RA-,FIP-,RA9-WAR,WAR
100004,1936.1S,JBL,KINKO,UC,2,1,0,,,,1,0,1,55,13,9,0,11,0,10,0,0,4,3,2.08,1,2,0.182,0.2,0,0.273,0.8,,52,97,0.5,0.2
100004,1937.1S,JBL,NAGOYA,UC,24,5,11,,,,7,1,0.313,667,149.3,116,0,119,3,53,4,0,72,45,2.71,1,22,0.079,0.178,0,0.242,0.697,,103,121,1.3,0.1
100004,1937.2F,JBL,NAGOYA,UC,13,2,5,,,,3,0,0.286,284,60.7,53,2,52,1,21,4,0,44,27,4.01,1,11,0.074,0.183,0.007,0.251,0.601,,145,126,-0.7,-0.1
100004,1938.1S,JBL,NAGOYA,UC,3,0,0,,,,0,0,,53,11.3,13,0,4,0,5,2,0,8,4,3.18,1,1,0.094,0.075,0,0.302,0.529,,150,74,-0.2,0.3
100008,1936.1S,JBL,HANKYU,UC,2,0,1,,,,0,0,0,48,8.7,14,0,8,0,3,1,0,10,8,8.31,1,2,0.063,0.167,0,0.389,0.545,,195,109,-0.3,0.1
100008,1937.1S,JBL,HANKYU,UC,2,0,1,,,,0,0,0,33,5.3,7,1,10,0,1,0,0,6,4,6.75,1,1,0.03,0.303,0.03,0.286,0.705,,240,246,-0.3,-0.3
100008,1937.2F,JBL,HANKYU,UC,1,1,0,,,,1,0,1,37,9,6,0,5,0,1,1,0,2,2,2,1,1,0.027,0.135,0,0.194,0.818,,44,107,0.4,0.1
100008,1938.1S,JBL,HANKYU,UC,6,3,1,,,,1,0,0.75,116,27.3,16,1,22,1,6,0,0,11,8,2.63,1,3,0.052,0.19,0.009,0.179,0.745,,86,139,0.5,-0.2
100008,1938.2F,JBL,HANKYU,UC,13,6,4,,,,7,0,0.6,424,99.3,76,4,56,4,34,2,1,47,41,3.71,1,11,0.08,0.132,0.009,0.229,0.683,,106,114,0.7,0.4
100009,1940,JBL,HANKYU,UC,1,0,0,,,,0,0,,12,3,0,0,3,0,1,0,0,0,0,0,1,0,0.083,0.25,0,0,1,,0,165,0.2,0
100011,1936.1S,JBL,OSAKA,UC,9,5,2,,,,4,0,0.714,311,68,70,3,29,3,39,0,0,42,30,3.97,1,7,0.125,0.093,0.01,0.29,0.613,,105,92,0.5,1.2
100011,1936.2F,JBL,OSAKA,UC,12,5,4,,,,4,1,0.556,318,75.7,60,1,28,1,27,0,0,24,19,2.26,1,9,0.085,0.088,0.003,0.228,0.742,,67,94,2.1,1.1
100011,1937.1S,JBL,OSAKA,UC,21,8,2,,,,4,0,0.8,393,92,85,1,25,2,41,1,0,37,18,1.76,1,10,0.104,0.064,0.003,0.263,0.678,,86,81,1.6,2.1
100011,1937.2F,JBL,OSAKA,UC,19,9,4,,,,6,2,0.692,434,104.7,95,2,25,0,35,0,0,42,29,2.49,1,13,0.081,0.058,0.005,0.255,0.666,,80,79,2.2,2.4
100011,1938.2F,JBL,OSAKA,UC,7,4,2,,,,2,0,0.667,184,44.7,32,2,18,0,14,0,0,18,15,3.02,1,4,0.076,0.098,0.011,0.204,0.678,,91,101,0.7,0.5
100011,1939,JBL,OSAKA,UC,48,28,7,,,,25,8,0.8,1326,330,248,4,91,3,99,1,0,79,40,1.09,1,30,0.075,0.069,0.003,0.221,0.782,,61,85,10.5,6.3
100011,1940,JBL,HANSHIN,UC,56,22,17,,,,23,6,0.564,1380,347.3,266,5,108,4,88,0,0,94,70,1.81,1,28,0.064,0.078,0.004,0.227,0.765,,79,96,7,4.5
100011,1941,JBL,HANSHIN,UC,42,18,17,,,,21,2,0.514,1264,321.7,234,2,102,1,87,1,0,70,52,1.45,1,23,0.069,0.081,0.002,0.221,0.799,,77,79,6.6,6.5
100011,1942,JBL,HANSHIN,UC,58,26,12,,,,24,4,0.684,1518,377.3,294,4,127,3,109,1,0,96,67,1.6,1,27,0.072,0.084,0.003,0.232,0.784,,91,91,5.3,5.7
100011,1943,JBL,HANSHIN,UC,52,24,15,,,,39,10,0.615,1656,415.7,299,1,123,2,99,2,0,80,49,1.06,1,39,0.06,0.074,0.001,0.212,0.814,,67,84,10.8,7.8
100011,1944,JBL,HANSHIN,UC,31,22,4,,,,24,5,0.846,990,248,199,1,53,0,45,0,1,59,43,1.56,1,24,0.045,0.054,0.001,0.224,0.77,,63,83,7.4,4.9
100011,1946,JBL,OSAKA,UC,12,4,4,,,,7,0,0.5,359,82.7,83,1,38,3,25,1,0,35,28,3.05,1,7,0.07,0.106,0.003,0.286,0.726,,87,98,1.5,1
100011,1947,JBL,OSAKA,UC,43,26,12,,,,31,10,0.684,1318,331.7,277,8,69,5,86,1,0,101,77,2.09,1,35,0.065,0.052,0.006,0.236,0.736,,84,87,6.1,5.9
100011,1948,JBL,OSAKA,UC,48,17,20,,,,26,4,0.459,1338,326.3,318,7,66,2,78,0,2,120,90,2.48,1,33,0.058,0.049,0.005,0.266,0.707,,94,89,4.5,5.7
100011,1949,JBL,OSAKA,UC,43,15,14,,,,19,4,0.517,1135,271,271,14,73,3,93,1,1,117,99,3.29,1,25,0.082,0.064,0.012,0.273,0.703,,80,86,5.9,5.1
100011,1950,PL,MAINICHI,UC,14,4,3,,,,4,1,0.571,306,73,79,7,15,0,20,0,0,41,30,3.7,1,7,0.065,0.049,0.023,0.274,0.629,,108,101,0.5,0.8
100011,1951,PL,MAINICHI,UC,11,0,4,,,,0,0,0,173,41,46,6,6,0,14,0,1,29,22,4.83,1,5,0.081,0.035,0.035,0.284,0.528,,160,118,-0.7,0.1
100011,1953,PL,MAINICHI,UC,2,0,1,,,,0,0,0,35,6.7,15,0,2,0,1,0,0,9,8,10.8,1,1,0.029,0.057,0,0.469,0.471,,334,91,-0.5,0.1
100015,1936.1S,JBL,NAGOYA,UC,1,0,0,,,,0,0,,-1,3,2,0,0,0,3,2,0,0,0,0,1,0,0.273,0,0,0.25,1,,0,41,0.2,0.1
100018,1936.1S,JBL,NAGOYA,UC,12,2,5,,,,3,0,0.286,257,58.3,65,1,57,2,26,1,0,52,42,6.48,1,10,0.101,0.222,0.004,0.368,0.587,,151,125,-0.9,-0.1
100019,1938.2F,JBL,SENATORS,UC,1,0,0,,,,0,0,,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.2,1,,0,71,0.1,0
100019,1939,JBL,SENATORS,UC,6,0,1,,,,1,0,0,136,31,29,1,13,1,8,1,0,17,15,4.35,1,3,0.059,0.096,0.007,0.259,0.625,,139,108,-0.2,0.2
100019,1940,JBL,TSUBASA,UC,2,0,1,,,,0,0,0,43,9,12,1,5,0,5,0,0,9,6,6,1,1,0.116,0.116,0.023,0.344,0.513,,294,131,-0.5,0
100021,1936.1S,JBL,NAGOYA,UC,6,4,1,,,,3,1,0.8,223,49.7,41,2,35,3,12,3,0,17,13,2.36,1,3,0.054,0.157,0.009,0.229,0.814,,58,122,1.7,0
100021,1936.2F,JBL,NAGOYA,UC,17,4,8,,,,6,1,0.333,408,85,78,0,78,1,19,1,0,49,32,3.39,1,14,0.047,0.191,0,0.261,0.688,,121,135,-0.1,-0.5
100029,1936.1S,JBL,KINKO,UC,7,3,2,,,,3,1,0.6,184,43.7,37,0,20,1,11,0,0,15,11,2.27,1,5,0.06,0.109,0,0.25,0.741,,58,95,1.5,0.6
100029,1936.2F,JBL,KINKO,UC,18,3,10,,,,3,0,0.231,416,91,77,0,51,3,44,1,0,52,32,3.16,1,16,0.106,0.123,0,0.246,0.603,,120,98,-0.1,1.2
100029,1937.1S,JBL,KINKO,UC,36,15,13,,,,20,3,0.536,1090,254.7,182,0,145,7,95,5,0,88,61,2.16,1,29,0.087,0.133,0,0.221,0.737,,74,104,6.2,2.3
100029,1937.2F,JBL,KINKO,UC,20,7,4,,,,5,0,0.636,433,95.3,75,3,65,2,47,4,0,52,33,3.12,1,10,0.109,0.15,0.007,0.231,0.653,,109,106,0.6,0.8
100029,1938.1S,JBL,KINKO,UC,12,3,6,,,,5,0,0.333,358,73.3,85,1,51,2,17,3,0,49,37,4.54,1,11,0.047,0.142,0.003,0.299,0.652,,142,112,-0.7,0.5
100029,1938.2F,JBL,KINKO,UC,18,1,7,,,,5,1,0.125,433,96.7,84,2,61,2,43,1,0,50,33,3.07,1,11,0.099,0.141,0.005,0.26,0.673,,116,104,0.2,0.9
100029,1939,JBL,KINKO,UC,45,7,18,,,,10,0,0.28,1056,244,206,7,129,1,107,4,0,102,66,2.43,1,32,0.101,0.122,0.007,0.249,0.717,,106,103,1.9,2.5
100029,1940,JBL,KINKO,UC,43,9,19,,,,16,2,0.321,1212,284.3,230,5,134,3,112,2,0,114,81,2.56,1,35,0.092,0.111,0.004,0.239,0.703,,118,102,0.6,3
100029,1941,JBL,TAIYO,UC,26,3,7,,,,5,0,0.3,566,136.7,105,3,59,0,36,6,0,35,21,1.38,1,14,0.064,0.104,0.005,0.221,0.807,,90,100,1.9,1.5
100029,1942,JBL,TAIYO,UC,22,5,7,,,,7,3,0.417,513,126,82,3,50,2,46,0,0,37,23,1.64,1,14,0.09,0.097,0.006,0.197,0.747,,105,100,1,1.4
100034,1936.1S,JBL,KINKO,UC,4,1,2,,,,0,0,0.333,61,11,10,0,13,2,3,1,0,13,7,5.73,1,3,0.049,0.213,0,0.25,0.48,,200,141,-0.4,-0.1
100034,1936.2F,JBL,KINKO,UC,3,0,1,,,,0,0,0,44,8.3,11,0,8,0,2,0,0,9,8,8.64,1,1,0.045,0.182,0,0.324,0.526,,227,129,-0.4,0
100034,1937.1S,JBL,KINKO,UC,2,0,1,,,,0,0,0,31,6.7,4,0,8,0,2,1,1,4,3,4.05,1,1,0.065,0.258,0,0.19,0.667,,128,155,0,-0.1
100035,1936.1S,JBL,KYOJIN,UC,4,0,1,,,,0,0,0,84,18,23,1,3,1,5,0,0,11,8,4,1,2,0.06,0.036,0.012,0.306,0.625,,103,91,0.1,0.3
100035,1936.2F,JBL,KYOJIN,UC,10,3,3,,,,3,3,0.5,216,51.3,38,0,24,3,25,0,0,13,8,1.4,1,8,0.116,0.111,0,0.238,0.8,,53,94,1.8,0.7
100035,1937.1S,JBL,KYOJIN,UC,20,4,5,,,,4,1,0.444,491,116.7,102,4,48,2,45,1,0,51,40,3.09,1,16,0.092,0.098,0.008,0.257,0.69,,93,101,1.6,1.2
100035,1937.2F,JBL,KYOJIN,UC,9,2,4,,,,2,0,0.333,179,40.7,35,0,23,2,16,0,0,22,17,3.76,1,7,0.089,0.128,0,0.255,0.633,,108,96,0.3,0.5
100035,1938.1S,JBL,KYOJIN,UC,13,6,3,,,,1,0,0.667,241,52.3,45,2,34,4,28,0,0,26,21,3.61,1,6,0.116,0.141,0.008,0.254,0.711,,106,107,0.4,0.4
100035,1938.2F,JBL,KYOJIN,UC,14,3,4,,,,3,0,0.429,270,62.3,65,8,17,2,15,0,0,42,38,5.49,1,9,0.056,0.063,0.03,0.257,0.577,,151,122,-0.8,0
100035,1946,JBL,HANKYU,UC,11,3,3,,,,3,0,0.5,251,60.3,61,0,19,1,9,0,0,21,17,2.54,1,7,0.036,0.076,0,0.277,0.741,,72,90,1.6,1
100040,1936.1S,JBL,KYOJIN,UC,2,0,2,,,,0,0,0,19,3.7,8,1,1,0,2,0,0,4,3,7.36,1,1,0.105,0.053,0.053,0.583,0.658,,185,136,-0.1,0
100040,1936.2F,JBL,KYOJIN,UC,5,1,1,,,,0,0,0.5,93,21,20,0,11,1,8,0,0,7,3,1.29,1,2,0.086,0.118,0,0.282,0.781,,70,102,0.5,0.2
100040,1937.1S,JBL,KYOJIN,UC,1,0,0,,,,0,0,,10,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.1,1,,0,78,0.2,0.1
100040,1937.2F,JBL,KYOJIN,UC,13,2,1,,,,0,0,0.667,215,53.3,35,2,18,1,19,0,0,18,16,2.7,1,3,0.088,0.084,0.009,0.193,0.703,,67,93,1.5,0.8
