teamID,team_fullName,currentTeam
ANA,Anaheim Angels,Los Angeles Angels
BAL,Baltimore Orioles,Baltimore Orioles
BLA,St. Louis Browns,St. Louis Cardinals
BOS,Boston Red Sox,Boston Red Sox
CAL,California Angels,Los Angeles Angels
CHA,Chicago White Sox,Chicago White Sox
CLE,Cleveland Guardians,Cleveland Guardians
DET,Detroit Tigers,Detroit Tigers
KC1,Kansas City Royals,Kansas City Royals
KCA,Kansas City Athletics,Oakland Athletics
LAA,Los Angeles Angels,Los Angeles Angels
MIN,Minnesota Twins,Minnesota Twins
ML4,Milwaukee Brewers,Milwaukee Brewers
MLA,Milwaukee Brewers,Milwaukee Brewers
NYA,New York Yankees,New York Yankees
OAK,Oakland Athletics,Oakland Athletics
PHA,Philadelphia Athletics,Oakland Athletics
SE1,Seattle Pilots,Milwaukee Brewers
SEA,Seattle Mariners,Seattle Mariners
SLA,St. Louis Browns,St. Louis Cardinals
TBA,Tampa Bay Devil Rays,Tampa Bay Devil Rays
TEX,Texas Rangers,Texas Rangers
TOR,Toronto Blue Jays,Toronto Blue Jays
WS1,Washington Senators,Minnesota Twins
WS2,Washington Senators,Texas Rangers
ARI,Arizona Diamondbacks,Arizona Diamondbacks
ATL,Atlanta Braves,Atlanta Braves
BFN,Buffalo Bisons,"	Toronto Blue Jays"
BLN,Baltimore Orioles,
BRO,Brooklyn Dodgers,Los Angeles Dodgers
BSN,Boston Braves,Atlanta Braves
CHC,Chicago Cubs,Chicago Cubs
CIN,Cincinnati Reds,Cincinnati Reds
CL2,Cleveland Blues,
CL4,Cleveland Spiders,Cleveland Guardians
CN1,Cincinnati Reds,Cincinnati Reds
COL,Colorado Rockies,Colorado Rockies
DTN,Detroit Wolverines,
FLO,Florida Marlins,Miami Marlins
HAR,Hartford Dark Blues,
HOU,Houston Astros,Houston Astros
IN1,Indianapolis Blues,
IN3,Indianapolis Hoosiers,
KCN,Kansas City Cowboys,
LAD,Los Angeles Dodgers,Los Angeles Dodgers
LS1,Louisville Grays,
LS3,Louisville Colonels,
MIA,Miami Marlins,Miami Marlins
MIL,Milwaukee Brewers,Milwaukee Brewers
ML1,Milwaukee Braves,Atlanta Braves
ML2,Milwaukee Grays,
MON,Montreal Expos,Washington Nationals
NY1,New York Giants,San Francisco Giants
NY3,New York Mutuals,
NYN,New York Mets,New York Mets
PHI,Philadelphia Phillies,Philadelphia Phillies
PHN,Philadelphia Athletics,Oakland Athletics
PIT,Pittsburgh Pirates,Pittsburgh Pirates
PRO,Providence Grays,
SDN,San Diego Padres,San Diego Padres
SFN,San Francisco Giants,San Francisco Giants
SL3,St. Louis Brown Stockings,
SL5,St. Louis Maroons,
SLN,St. Louis Cardinals,St. Louis Cardinals
SR1,Syracuse Stars,
TRN,Troy Trojans,
WAS,Washington Senators,Washington Nationals
WOR,Worcester Ruby Legs,
WS8,Washington Nationals,Washington Nationals
ATOMS,Sankei Atoms,Tokyo Yakult Swallows
CHUNICHI,Chunichi Dragons,Chunichi Dragons
DENA,Yokohama DeNA BayStars,Yokohama DeNA BayStars
HANSHIN,Hanshin Tigers,Hanshin Tigers
HIROSHIMA,Hiroshima Toyo Carp,Hiroshima Toyo Carp
KOKUTETSU,Kokutetsu Swallows,Tokyo Yakult Swallows
NAGOYA,Nagoya Dragons,Chunichi Dragons
NISHI NIPPON,Nishi Nippon Pirates,
OSAKA,Osaka Tigers,Hanshin Tigers
SANKEI,Sankei Atoms,Tokyo Yakult Swallows
SHOCHIKU,Shochiku Robins,Yokohama DeNA BayStars
TAIYO,Taiyo Whales,Yokohama DeNA BayStars
YAKULT,Tokyo Yakult Swallows,Tokyo Yakult Swallows
YOKOHAMA,Yokohama BayStars,Yokohama DeNA BayStars
YOMIURI,Yomiuri Giants,Yomiuri Giants
