playerstatsID,playerID,yearID,lgID,teamID,stint,AL_indicator,CL_indicator,KBO_indicator,NL_indicator,PL_indicator,transition_indicator,statType,stat,value
502,MLB_adamsda01_NPB__KBO_,1914,FL,KCF,1,0,0,0,0,0,1,Batting,1,36.0
503,MLB_adamsda01_NPB__KBO_,1915,FL,KCF,1,0,0,0,0,0,1,Batting,1,11.0
610,MLB_adamswi01_NPB__KBO_,1914,FL,PTF,1,0,0,0,0,0,2,Batting,1,15.0
764,MLB_aglerjo01_NPB__KBO_,1914,FL,BUF,1,0,0,0,0,0,2,Batting,1,135.0
765,MLB_aglerjo01_NPB__KBO_,1915,FL,BUF,1,0,0,0,0,0,2,Batting,1,25.0
766,MLB_aglerjo01_NPB__KBO_,1915,FL,BLF,2,0,0,0,0,0,2,Batting,1,72.0
1405,MLB_allenfr01_NPB__KBO_,1914,FL,PTF,2,0,0,0,0,0,2,Batting,1,1.0
1406,MLB_allenfr01_NPB__KBO_,1915,FL,PTF,1,0,0,0,0,0,2,Batting,1,41.0
1444,MLB_allenjo01_NPB__KBO_,1914,FL,BLF,1,0,0,0,0,0,1,Batting,1,1.0
1502,MLB_allenni01_NPB__KBO_,1914,FL,BUF,1,0,0,0,0,0,1,Batting,1,32.0
1503,MLB_allenni01_NPB__KBO_,1915,FL,BUF,1,0,0,0,0,0,1,Batting,1,84.0
2321,MLB_anderfr01_NPB__KBO_,1914,FL,BUF,1,0,0,0,0,0,2,Batting,1,39.0
2322,MLB_anderfr01_NPB__KBO_,1915,FL,BUF,1,0,0,0,0,0,2,Batting,1,36.0
2343,MLB_anderge01_NPB__KBO_,1914,FL,BRF,1,0,0,0,0,0,1,Batting,1,98.0
2344,MLB_anderge01_NPB__KBO_,1915,FL,BRF,1,0,0,0,0,0,1,Batting,1,136.0
4132,MLB_bailebi01_NPB__KBO_,1914,FL,BLF,1,0,0,0,0,0,2,Batting,1,19.0
4133,MLB_bailebi01_NPB__KBO_,1915,FL,BLF,1,0,0,0,0,0,2,Batting,1,36.0
4134,MLB_bailebi01_NPB__KBO_,1915,FL,CHF,2,0,0,0,0,0,2,Batting,1,5.0
5045,MLB_bargecy01_NPB__KBO_,1914,FL,PTF,1,0,0,0,0,0,3,Batting,1,38.0
5046,MLB_bargecy01_NPB__KBO_,1915,FL,PTF,1,0,0,0,0,0,3,Batting,1,36.0
5803,MLB_batesjo02_NPB__KBO_,1914,FL,BLF,3,0,0,0,0,0,2,Batting,1,59.0
6467,MLB_beckfr02_NPB__KBO_,1914,FL,CHF,1,0,0,0,0,0,2,Batting,1,157.0
6468,MLB_beckfr02_NPB__KBO_,1915,FL,CHF,1,0,0,0,0,0,2,Batting,1,121.0
6578,MLB_bediehu01_NPB__KBO_,1915,FL,BUF,1,0,0,0,0,0,2,Batting,1,53.0
7261,MLB_bendech01_NPB__KBO_,1915,FL,BLF,1,0,0,0,0,0,2,Batting,1,26.0
7724,MLB_berghma01_NPB__KBO_,1915,FL,PTF,1,0,0,0,0,0,3,Batting,1,132.0
7983,MLB_berrycl01_NPB__KBO_,1914,FL,PTF,1,0,0,0,0,0,2,Batting,1,124.0
7984,MLB_berrycl01_NPB__KBO_,1915,FL,PTF,1,0,0,0,0,0,2,Batting,1,100.0
8524,MLB_billiha01_NPB__KBO_,1914,FL,IND,1,0,0,0,0,0,2,Batting,1,32.0
8525,MLB_billiha01_NPB__KBO_,1915,FL,NEW,1,0,0,0,0,0,2,Batting,1,14.0
8719,MLB_blackch01_NPB__KBO_,1915,FL,KCF,1,0,0,0,0,0,1,Batting,1,7.0
8735,MLB_blackda01_NPB__KBO_,1914,FL,CHF,1,0,0,0,0,0,1,Batting,1,9.0
8736,MLB_blackda01_NPB__KBO_,1915,FL,CHF,1,0,0,0,0,0,1,Batting,1,25.0
8737,MLB_blackda01_NPB__KBO_,1915,FL,BLF,2,0,0,0,0,0,1,Batting,1,8.0
8892,MLB_blairwa01_NPB__KBO_,1914,FL,BUF,1,0,0,0,0,0,2,Batting,1,128.0
8893,MLB_blairwa01_NPB__KBO_,1915,FL,BUF,1,0,0,0,0,0,2,Batting,1,98.0
9268,MLB_blockbr01_NPB__KBO_,1914,FL,CHF,1,0,0,0,0,0,2,Batting,1,44.0
9356,MLB_bluejji01_NPB__KBO_,1914,FL,BRF,1,0,0,0,0,0,1,Batting,1,17.0
9357,MLB_bluejji01_NPB__KBO_,1915,FL,BRF,1,0,0,0,0,0,1,Batting,1,24.0
10001,MLB_boninlu01_NPB__KBO_,1914,FL,BUF,1,0,0,0,0,0,2,Batting,1,20.0
10040,MLB_booeev01_NPB__KBO_,1914,FL,IND,1,0,0,0,0,0,2,Batting,1,20.0
10041,MLB_booeev01_NPB__KBO_,1914,FL,BUF,2,0,0,0,0,0,2,Batting,1,76.0
10360,MLB_bortoba01_NPB__KBO_,1915,FL,SLF,1,0,0,0,0,0,2,Batting,1,159.0
10547,MLB_bouchal01_NPB__KBO_,1914,FL,SLF,1,0,0,0,0,0,1,Batting,1,147.0
10561,MLB_bouchme01_NPB__KBO_,1914,FL,BLF,1,0,0,0,0,0,1,Batting,1,16.0
10562,MLB_bouchme01_NPB__KBO_,1914,FL,PTF,2,0,0,0,0,0,1,Batting,1,1.0
11086,MLB_bradlbi01_NPB__KBO_,1914,FL,BRF,1,0,0,0,0,0,3,Batting,1,7.0
11087,MLB_bradlbi01_NPB__KBO_,1915,FL,KCF,1,0,0,0,0,0,3,Batting,1,66.0
11114,MLB_bradlhu01_NPB__KBO_,1914,FL,PTF,1,0,0,0,0,0,2,Batting,1,118.0
11115,MLB_bradlhu01_NPB__KBO_,1915,FL,PTF,1,0,0,0,0,0,2,Batting,1,26.0
11116,MLB_bradlhu01_NPB__KBO_,1915,FL,BRF,2,0,0,0,0,0,2,Batting,1,37.0
11117,MLB_bradlhu01_NPB__KBO_,1915,FL,NEW,3,0,0,0,0,0,2,Batting,1,12.0
