playerstatsID,playerID,yearID,lgID,teamID,stint,AL_indicator,CL_indicator,KBO_indicator,NL_indicator,PL_indicator,transition_indicator,statType,stat,value
69,MLB_abadijo01_NPB__KBO_,1875,NAN,PH3,1,0,0,0,0,0,1,Batting,1,11.0
70,MLB_abadijo01_NPB__KBO_,1875,NAN,BR2,2,0,0,0,0,0,2,Batting,1,1.0
165,MLB_abercda01_NPB__KBO_,1871,NAN,TRO,1,0,0,0,0,0,1,Batting,1,1.0
655,MLB_addybo01_NPB__KBO_,1871,NAN,RC1,1,0,0,0,0,0,1,Batting,1,25.0
656,MLB_addybo01_NPB__KBO_,1873,NAN,PH2,1,0,0,0,0,0,2,Batting,1,10.0
657,MLB_addybo01_NPB__KBO_,1873,NAN,BS1,2,0,0,0,0,0,3,Batting,1,31.0
658,MLB_addybo01_NPB__KBO_,1874,NAN,HR1,1,0,0,0,0,0,4,Batting,1,50.0
659,MLB_addybo01_NPB__KBO_,1875,NAN,PH2,1,0,0,0,0,0,5,Batting,1,69.0
1424,MLB_allenha01_NPB__KBO_,1872,NAN,MID,1,0,0,0,0,0,1,Batting,1,17.0
1534,MLB_allisan01_NPB__KBO_,1872,NAN,BR1,1,0,0,0,0,0,1,Batting,1,22.0
1535,MLB_allisar01_NPB__KBO_,1871,NAN,CL1,1,0,0,0,0,0,1,Batting,1,29.0
1536,MLB_allisar01_NPB__KBO_,1872,NAN,CL1,1,0,0,0,0,0,2,Batting,1,19.0
1537,MLB_allisar01_NPB__KBO_,1873,NAN,ELI,1,0,0,0,0,0,3,Batting,1,23.0
1538,MLB_allisar01_NPB__KBO_,1875,NAN,WS6,1,0,0,0,0,0,4,Batting,1,26.0
1539,MLB_allisar01_NPB__KBO_,1875,NAN,HR1,2,0,0,0,0,0,5,Batting,1,40.0
1541,MLB_allisbi01_NPB__KBO_,1872,NAN,BR1,1,0,0,0,0,0,1,Batting,1,6.0
1556,MLB_allisdo01_NPB__KBO_,1871,NAN,WS3,1,0,0,0,0,0,1,Batting,1,27.0
1557,MLB_allisdo01_NPB__KBO_,1872,NAN,TRO,1,0,0,0,0,0,2,Batting,1,23.0
1558,MLB_allisdo01_NPB__KBO_,1872,NAN,BR1,2,0,0,0,0,0,3,Batting,1,18.0
