playerstatsID,playerID,yearID,lgID,teamID,stint,AL_indicator,CL_indicator,KBO_indicator,NL_indicator,PL_indicator,transition_indicator,statType,stat,value
975,MLB_albergu01_NPB__KBO_,1884,UA,WSU,2,0,0,0,0,0,2,Batting,1,4.0
1187,MLB_alexani01_NPB__KBO_,1884,UA,KCU,1,0,0,0,0,0,1,Batting,1,19.0
3484,MLB_atkinal01_NPB__KBO_,1884,UA,CHU,2,0,0,0,0,0,2,Batting,1,19.0
3485,MLB_atkinal01_NPB__KBO_,1884,UA,BLU,3,0,0,0,0,0,2,Batting,1,8.0
4115,MLB_bahrefr01_NPB__KBO_,1884,UA,BLU,1,0,0,0,0,0,1,Batting,1,2.0
4320,MLB_bakelje01_NPB__KBO_,1884,UA,PHU,1,0,0,0,0,0,2,Batting,1,45.0
4321,MLB_bakelje01_NPB__KBO_,1884,UA,WIL,2,0,0,0,0,0,2,Batting,1,2.0
4322,MLB_bakelje01_NPB__KBO_,1884,UA,KCU,3,0,0,0,0,0,2,Batting,1,6.0
4344,MLB_bakerch01_NPB__KBO_,1884,UA,CHU,1,0,0,0,0,0,1,Batting,1,15.0
4415,MLB_bakerge01_NPB__KBO_,1884,UA,SLU,1,0,0,0,0,0,2,Batting,1,80.0
4468,MLB_bakerph01_NPB__KBO_,1884,UA,WSU,1,0,0,0,0,0,2,Batting,1,86.0
4572,MLB_baldwki01_NPB__KBO_,1884,UA,KCU,1,0,0,0,0,0,1,Batting,1,50.0
4573,MLB_baldwki01_NPB__KBO_,1884,UA,CHU,2,0,0,0,0,0,1,Batting,1,1.0
4581,MLB_baldwla01_NPB__KBO_,1884,UA,MLU,1,0,0,0,0,0,1,Batting,1,7.0
4924,MLB_barbech01_NPB__KBO_,1884,UA,CNU,1,0,0,0,0,0,1,Batting,1,55.0
5145,MLB_barnebi01_NPB__KBO_,1884,UA,SPU,1,0,0,0,0,0,1,Batting,1,8.0
5743,MLB_bastich01_NPB__KBO_,1884,UA,WIL,1,0,0,0,0,0,1,Batting,1,17.0
5744,MLB_bastich01_NPB__KBO_,1884,UA,KCU,2,0,0,0,0,0,1,Batting,1,11.0
5883,MLB_battijo01_NPB__KBO_,1884,UA,CHU,2,0,0,0,0,0,7,Batting,1,18.0
5884,MLB_battijo01_NPB__KBO_,1884,UA,BLU,3,0,0,0,0,0,7,Batting,1,17.0
6462,MLB_beckfr01_NPB__KBO_,1884,UA,BLU,2,0,0,0,0,0,2,Batting,1,5.0
6681,MLB_behelst01_NPB__KBO_,1884,UA,MLU,1,0,0,0,0,0,1,Batting,1,9.0
7447,MLB_benneik01_NPB__KBO_,1884,UA,WIL,2,0,0,0,0,0,2,Batting,1,6.0
7965,MLB_berrych01_NPB__KBO_,1884,UA,ALT,1,0,0,0,0,0,1,Batting,1,7.0
7966,MLB_berrych01_NPB__KBO_,1884,UA,KCU,2,0,0,0,0,0,1,Batting,1,29.0
7967,MLB_berrych01_NPB__KBO_,1884,UA,CHU,3,0,0,0,0,0,1,Batting,1,7.0
8459,MLB_bignege01_NPB__KBO_,1884,UA,MLU,1,0,0,0,0,0,1,Batting,1,4.0
8645,MLB_bishofr01_NPB__KBO_,1884,UA,CHU,1,0,0,0,0,0,1,Batting,1,4.0
8698,MLB_blackbo01_NPB__KBO_,1884,UA,KCU,1,0,0,0,0,0,1,Batting,1,38.0
8907,MLB_blaisdi01_NPB__KBO_,1884,UA,KCU,1,0,0,0,0,0,1,Batting,1,4.0
9894,MLB_bondto01_NPB__KBO_,1884,UA,BSU,1,0,0,0,0,0,4,Batting,1,37.0
10956,MLB_boylehe01_NPB__KBO_,1884,UA,SLU,1,0,0,0,0,0,1,Batting,1,65.0
11062,MLB_bradlal01_NPB__KBO_,1884,UA,WSU,1,0,0,0,0,0,1,Batting,1,1.0
11104,MLB_bradlge01_NPB__KBO_,1884,UA,CNU,1,0,0,0,0,0,4,Batting,1,58.0
11675,MLB_brennji01_NPB__KBO_,1884,UA,SLU,1,0,0,0,0,0,1,Batting,1,56.0
11978,MLB_briggch01_NPB__KBO_,1884,UA,CHU,1,0,0,0,0,0,1,Batting,1,49.0
12105,MLB_briodfa01_NPB__KBO_,1884,UA,CNU,2,0,0,0,0,0,2,Batting,1,22.0
12441,MLB_brougca01_NPB__KBO_,1884,UA,MLU,1,0,0,0,0,0,3,Batting,1,11.0
12770,MLB_brownji01_NPB__KBO_,1884,UA,ALT,1,0,0,0,0,0,1,Batting,1,21.0
12772,MLB_brownji01_NPB__KBO_,1884,UA,SPU,3,0,0,0,0,0,3,Batting,1,6.0
12860,MLB_brownle01_NPB__KBO_,1884,UA,BSU,1,0,0,0,0,0,3,Batting,1,85.0
13999,MLB_burkeja01_NPB__KBO_,1884,UA,BSU,1,0,0,0,0,0,2,Batting,1,47.0
