PlayerID,Year,Team,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,SO,GDP,AVG,SLG,OBP
50007,2022.0,KT,2,3,3,0,1,1,0,0,2,0,0,0,0,2,0,0.333,0.667,0.333
50007,2023.0,KT,2,5,5,1,1,0,0,0,1,0,0,0,0,4,0,0.2,0.2,0.2
50054,2020.0,KT,66,77,69,9,14,3,0,0,17,1,1,1,7,15,0,0.203,0.246,0.286
50054,2021.0,KT,41,47,42,13,12,1,0,0,13,4,1,0,3,9,0,0.286,0.31,0.362
50054,2024.0,KT,75,255,234,41,69,8,3,1,86,17,7,0,18,43,5,0.295,0.368,0.346
50054,2025.0,KT,23,62,52,7,11,5,1,0,18,7,0,1,8,9,1,0.212,0.346,0.339
50066,2020.0,KT,26,32,30,2,6,2,0,1,11,3,0,0,2,11,1,0.2,0.367,0.25
50066,2023.0,KT,53,111,103,11,20,6,0,1,29,11,0,1,6,17,3,0.194,0.282,0.245
50066,2024.0,KT,18,36,26,4,8,1,0,1,12,8,0,0,8,10,0,0.308,0.462,0.471
50066,2025.0,KT,10,15,12,0,2,0,0,0,2,1,0,0,3,4,0,0.167,0.167,0.333
50092,2024.0,KT,13,18,17,3,3,2,0,0,5,0,0,0,1,6,0,0.176,0.294,0.222
50092,2025.0,KT,15,15,14,1,1,1,0,0,2,0,1,0,0,4,0,0.071,0.143,0.071
50106,2024.0,LG,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-
50108,2024.0,LG,15,17,14,3,2,0,0,0,2,0,0,0,2,3,1,0.143,0.143,0.25
50108,2025.0,LG,4,11,11,0,2,1,0,0,3,1,0,0,0,2,0,0.182,0.273,0.182
50109,2024.0,KT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-
50115,2024.0,LG,4,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0
50150,2020.0,LG,23,31,30,9,11,2,0,0,13,3,5,0,1,6,2,0.367,0.433,0.387
50150,2021.0,LG,8,12,10,2,1,0,0,0,1,0,0,0,1,2,0,0.1,0.1,0.25
50150,2022.0,LG,36,82,74,13,19,0,2,3,32,14,0,3,6,14,2,0.257,0.432,0.309
50150,2023.0,LG,27,45,44,8,9,0,0,1,12,6,2,1,1,12,5,0.205,0.273,0.222
50150,2024.0,Lotte,102,430,398,70,126,26,4,18,214,78,7,4,17,65,6,0.317,0.538,0.354
