PlayerID,Year,Team,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER
50030,2020.0,KT,3.86,26.0,0.0,0.0,13.0,6.0,0.0,0.0,0.684,572.0,133,141.0,6.0,45.0,6.0,92.0,63.0,57.0
50030,2021.0,KT,4.16,24.0,0.0,0.0,7.0,7.0,0.0,0.0,0.500,521.0,119,123.0,6.0,51.0,4.0,85.0,67.0,55.0
50030,2022.0,KT,3.05,27.0,0.0,0.0,13.0,6.0,0.0,0.0,0.684,703.0,171 1/3,158.0,8.0,39.0,5.0,117.0,68.0,58.0
50030,2023.0,KT,11.45,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-,59.0,11,22.0,1.0,3.0,3.0,4.0,14.0,14.0
50030,2024.0,KT,3.24,6.0,0.0,0.0,2.0,0.0,0.0,0.0,1.000,30.0,8 1/3,7.0,1.0,1.0,1.0,3.0,3.0,3.0
50030,2025.0,KT,2.83,8.0,0.0,0.0,3.0,2.0,0.0,0.0,0.600,193.0,47 2/3,40.0,2.0,14.0,1.0,52.0,16.0,15.0
50036,2020.0,KT,6.35,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-,33.0,5 2/3,9.0,1.0,5.0,3.0,3.0,4.0,4.0
50036,2021.0,Lotte,10.8,15.0,0.0,0.0,1.0,0.0,0.0,0.0,1.000,48.0,8 1/3,11.0,1.0,13.0,2.0,4.0,11.0,10.0
50036,2022.0,Lotte,10.24,13.0,0.0,0.0,0.0,0.0,0.0,1.0,-,57.0,9 2/3,9.0,1.0,20.0,0.0,6.0,11.0,11.0
50036,2025.0,Kiwoom,5.65,16.0,0.0,0.0,0.0,0.0,0.0,1.0,-,69.0,14 1/3,19.0,2.0,8.0,2.0,13.0,13.0,9.0
50040,2020.0,KT,4.33,35.0,0.0,0.0,15.0,8.0,0.0,0.0,0.652,906.0,207 2/3,233.0,18.0,68.0,8.0,152.0,105.0,100.0
50040,2021.0,KT,3.39,33.0,0.0,0.0,13.0,10.0,0.0,0.0,0.565,819.0,188 2/3,175.0,10.0,78.0,7.0,165.0,81.0,71.0
50040,2022.0,KT,4.53,30.0,0.0,0.0,8.0,12.0,0.0,0.0,0.4,725.0,163,198.0,14.0,48.0,9.0,123.0,94.0,82.0
50106,2023.0,LG,3.44,67.0,0.0,0.0,6.0,3.0,1.0,12.0,0.667,305.0,68,55.0,4.0,40.0,7.0,55.0,27.0,26.0
50106,2024.0,LG,2.97,62.0,0.0,0.0,7.0,5.0,26.0,1.0,0.583,286.0,63 2/3,61.0,2.0,30.0,3.0,77.0,24.0,21.0
50109,2020.0,LG,4.15,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-,20.0,4 1/3,6.0,0.0,1.0,1.0,1.0,2.0,2.0
50109,2024.0,KT,7.31,30.0,0.0,0.0,0.0,0.0,0.0,1.0,-,159.0,32,46.0,1.0,16.0,5.0,20.0,29.0,26.0
50126,2020.0,LG,3.69,20.0,0.0,0.0,4.0,4.0,0.0,0.0,0.5,434.0,97 2/3,94.0,5.0,44.0,10.0,67.0,46.0,40.0
50126,2021.0,LG,4.3,25.0,0.0,0.0,8.0,9.0,0.0,0.0,0.471,477.0,115,89.0,13.0,45.0,14.0,100.0,58.0,55.0
50126,2022.0,LG,5.51,26.0,0.0,0.0,12.0,8.0,0.0,0.0,0.6,540.0,119 1/3,146.0,14.0,43.0,7.0,73.0,77.0,73.0
50126,2023.0,LG,5.03,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,91.0,19 2/3,22.0,1.0,10.0,0.0,7.0,13.0,11.0
50157,2020.0,LG,6.25,23.0,0.0,0.0,2.0,4.0,0.0,2.0,0.333,308.0,67 2/3,87.0,7.0,24.0,6.0,38.0,50.0,47.0
50157,2021.0,LG,4.46,35.0,0.0,0.0,7.0,4.0,0.0,1.0,0.636,301.0,66 2/3,65.0,3.0,36.0,6.0,56.0,37.0,33.0
50157,2022.0,LG,3.31,23.0,0.0,0.0,8.0,5.0,0.0,0.0,0.615,483.0,114 1/3,125.0,5.0,27.0,1.0,81.0,46.0,42.0
50157,2023.0,LG,4.22,17.0,0.0,0.0,6.0,4.0,0.0,0.0,0.600,320.0,74 2/3,86.0,4.0,25.0,3.0,42.0,35.0,35.0
