playerId,Season,TeamKor,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
62415,2025,LG,OF,55,50,439,0,0,110,1,1,1,0,0,0,-
79365,2025,LG,C,52,43,384 1/3,2,0,341,25,3,0.995,1,19,7,26.9
79109,2025,LG,SS,52,42,370 1/3,3,0,55,115,29,0.983,0,0,0,-
69102,2025,LG,3B,45,44,365,7,0,25,64,4,0.927,0,0,0,-
65207,2025,LG,2B,45,32,291,1,0,73,90,26,0.994,0,0,0,-
53123,2025,LG,1B,40,38,322,2,0,295,22,28,0.994,0,0,0,-
66108,2025,LG,OF,38,36,297 1/3,0,0,51,1,0,1,0,0,0,-
75867,2025,LG,P,30,0,28 2/3,0,0,1,5,0,1,0,0,0,-
53139,2025,LG,P,25,0,23,0,0,2,3,0,1,0,0,0,-
55167,2025,LG,P,24,0,21 1/3,0,0,1,4,1,1,0,0,0,-
69100,2025,LG,2B,23,18,147 1/3,1,0,35,45,12,0.988,0,0,0,-
52154,2025,LG,C,22,12,98,0,0,99,5,0,1,2,11,0,0
69100,2025,LG,SS,21,13,117,1,0,15,38,8,0.981,0,0,0,-
76290,2025,LG,OF,21,20,158 1/3,0,0,30,0,0,1,0,0,0,-
68119,2025,LG,OF,21,16,144,0,0,41,0,0,1,0,0,0,-
69100,2025,LG,3B,20,9,83 1/3,0,0,4,13,0,1,0,0,0,-
52103,2025,LG,OF,19,1,34,0,0,8,0,0,1,0,0,0,-
65109,2025,LG,P,18,0,18,0,0,2,5,0,1,0,0,0,-
68110,2025,LG,OF,18,12,106 1/3,0,0,26,1,0,1,0,0,0,-
61145,2025,LG,P,18,0,17,1,0,1,0,0,0.5,0,0,0,-
68110,2025,LG,OF,16,13,115,0,0,24,0,0,1,0,0,0,-
63950,2025,LG,P,15,0,15 1/3,0,0,0,1,0,1,0,0,0,-
52103,2025,LG,OF,14,2,30 1/3,0,0,13,0,0,1,0,0,0,-
77263,2025,LG,P,12,0,12 1/3,0,0,1,4,0,1,0,0,0,-
51100,2025,LG,2B,12,5,48,0,0,11,21,3,1,0,0,0,-
69108,2025,LG,P,12,1,19 2/3,0,0,2,2,0,1,0,0,0,-
76290,2025,LG,1B,11,9,81,2,0,71,9,5,0.976,0,0,0,-
63145,2025,LG,P,11,0,11 2/3,0,0,0,1,0,1,0,0,0,-
67143,2025,LG,P,11,11,59 1/3,1,1,3,8,0,0.917,0,0,0,-
61101,2025,LG,P,11,11,70 1/3,1,1,4,10,3,0.933,0,0,0,-
55146,2025,LG,P,11,11,67,1,0,4,9,0,0.929,0,0,0,-
51111,2025,LG,P,10,10,57 1/3,0,0,3,7,0,1,0,0,0,-
51526,2025,LG,P,10,0,9,0,0,0,2,0,1,0,0,0,-
69102,2025,LG,1B,9,1,22,0,0,19,0,5,1,0,0,0,-
52103,2025,LG,OF,9,0,12 1/3,0,0,4,0,0,1,0,0,0,-
51100,2025,LG,1B,8,0,13,0,0,10,1,1,1,0,0,0,-
50108,2025,LG,OF,7,5,41 2/3,0,0,14,0,0,1,0,0,0,-
64596,2025,LG,P,6,0,4 1/3,0,0,0,1,0,1,0,0,0,-
52121,2025,LG,1B,6,2,17 1/3,0,0,18,2,2,1,0,0,0,-
68159,2025,LG,P,6,0,4,0,0,1,0,0,1,0,0,0,-
50108,2025,LG,OF,6,0,11 1/3,0,0,3,0,0,1,0,0,0,-
68119,2025,LG,OF,5,5,41 1/3,0,0,8,0,0,1,0,0,0,-
55138,2025,LG,P,5,5,23,0,0,0,6,0,1,0,0,0,-
52121,2025,LG,3B,4,0,12,0,0,0,0,0,-,0,0,0,-
54119,2025,LG,P,4,4,19,0,0,1,2,1,1,0,0,0,-
51100,2025,LG,3B,4,2,23,0,0,1,2,1,1,0,0,0,-
68419,2025,LG,P,4,1,7 2/3,0,0,0,0,0,-,0,0,0,-
67504,2025,LG,1B,3,2,17,0,0,12,2,1,1,0,0,0,-
52105,2025,LG,C,3,0,7,0,0,6,0,0,1,0,0,0,-
68110,2025,LG,OF,3,2,14,0,0,2,0,0,1,0,0,0,-
68110,2025,LG,1B,3,2,13,1,0,11,1,1,0.923,0,0,0,-
68110,2025,LG,3B,3,0,6,0,0,0,0,0,-,0,0,0,-
66162,2025,LG,2B,2,0,3,0,0,0,0,0,-,0,0,0,-
52121,2025,LG,OF,2,1,8,0,0,0,0,0,-,0,0,0,-
65207,2025,LG,OF,2,1,6,0,0,0,0,0,-,0,0,0,-
55122,2025,LG,P,1,0,1,0,0,0,0,0,-,0,0,0,-
65411,2025,LG,P,1,1,3-Jan,0,0,0,0,0,-,0,0,0,-
52121,2025,LG,OF,1,1,3,0,0,0,0,0,-,0,0,0,-
55164,2025,LG,OF,1,0,2,1,0,0,0,0,0,0,0,0,-
54156,2025,LG,1B,1,1,4,0,0,6,0,0,1,0,0,0,-
51100,2025,LG,SS,1,0,2,0,0,0,0,0,-,0,0,0,-
51100,2025,LG,OF,1,0,1,0,0,0,0,0,-,0,0,0,-
65905,2025,LG,OF,1,0,1,0,0,0,0,0,-,0,0,0,-
65905,2025,LG,OF,1,0,2,0,0,1,0,0,1,0,0,0,-
69737,2025,Hanwha,3B,54,54,481,7,0,35,82,7,0.944,0,0,0,-
55734,2025,Hanwha,OF,54,53,461,3,0,116,3,0,0.975,0,0,0,-
76812,2025,Hanwha,C,49,17,206,1,0,199,20,4,0.995,2,19,4,17.4
79192,2025,Hanwha,1B,48,47,396 2/3,2,0,368,14,24,0.995,0,0,0,-
54795,2025,Hanwha,2B,46,37,339 1/3,3,0,58,109,14,0.982,0,0,0,-
78288,2025,Hanwha,C,44,38,285,2,0,300,24,2,0.994,4,17,7,29.2
66657,2025,Hanwha,OF,37,35,264,0,0,46,1,0,1,0,0,0,-
64006,2025,Hanwha,SS,33,32,261 1/3,3,0,50,88,14,0.979,0,0,0,-
67703,2025,Hanwha,P,29,0,26 2/3,0,0,3,3,0,1,0,0,0,-
53754,2025,Hanwha,P,28,0,27,0,0,0,6,0,1,0,0,0,-
61666,2025,Hanwha,P,27,0,25,0,0,1,5,0,1,0,0,0,-
66704,2025,Hanwha,OF,26,23,169 1/3,1,0,28,1,0,0.967,0,0,0,-
63765,2025,Hanwha,P,25,0,22,0,0,1,3,1,1,0,0,0,-
