NumID,PlayerID,Name,Nationality,Position,Bats,Throws,Height_cm,Weight_kg,SigningBonus,Salary,DraftOrder,DebutYearTeam,BirthMonth,BirthDay,BirthYear,DebutYear,DebutTeam,LastNameEng,FirstNameEng
0,50007,문상준,Korea,Infielder,Right,Right,183,80,4000만원,3100만원,20 KT 2차 8라운드 72순위,22KT,3,14,2001,2022,KT,Moon,Sang-Jun
1,50030,소형준,Korea,Pitcher,Right,Right,189,92,36000만원,22000만원,20 KT 1차,20KT,9,16,2001,2020,KT,So,Hyeong-Jun
2,50036,이강준,Korea,Pitcher,Right,Right,180,80,9000만원,3200만원,20 KT 2차 3라운드 22순위,20KT,12,14,2001,2020,KT,Lee,Gang-Jun
3,50040,데스파이네,USA,Pitcher,Right,Right,182,92,300000달러,700000달러,20 KT 자유선발,20KT,4,4,1987,2020,KT,Despaigne,Odrisamer
4,50054,천성호,Korea,Infielder,Left,Right,183,85,10000만원,7100만원,20 KT 2차 2라운드 12순위,20KT,10,30,1997,2020,KT,Cheon,Seong-Ho
5,50066,강현우,Korea,Catcher,Right,Right,180,90,15000만원,5000만원,20 KT 2차 1라운드 2순위,20KT,4,13,2001,2020,KT,Kang,Hyeon-U
6,50092,윤준혁,Korea,Infielder,Right,Right,186,86,8000만원,3500만원,20 KT 2차 4라운드 32순위,20KT,7,26,2001,2020,KT,Yoon,Jun-Hyeok
7,50106,유영찬,Korea,Pitcher,Right,Right,185,90,,21000만원,20 LG 2차 5라운드 43순위,23LG,3,7,1997,2023,LG,Yoo,Yeong-Chan
8,50108,함창건,Korea,Outfielder,Left,Left,176,83,5000만원,3200만원,20 LG 2차 7라운드 63순위,24LG,8,18,2001,2024,LG,Ham,Chang-Geon
9,50109,성재헌,Korea,Pitcher,Left,Left,175,82,4000만원,3600만원,20 LG 2차 8라운드 73순위,20LG,12,22,1997,2020,LG,Seong,Jae-Heon
10,50115,김수인,Korea,Infielder,Right,Right,178,81,,3100만원,20 LG 육성선수,24LG,10,19,1997,2024,LG,Kim,Su-In
11,50126,이민호,Korea,Pitcher,Right,Right,189,93,30000만원,14000만원,20 LG 1차,20LG,8,30,2001,2020,LG,Lee,Min-Ho
