NumID,Player ID,Year,Team,G,W,L,SV,HLD,HP,CG,SHO,PCT,BF,IP,H,HR,BB,HB,SO,WP,BK,R,ER,ERA
0,1105153,2021,ORIX,4,0,0,0,0,0,0,0,0,16,3.2,4,1,1,0,3,0,0,3,3,7.36
1,1105153,2022,ORIX,44,1,0,3,22,23,0,0,1,166,44,22,1,10,2,42,0,0,3,3,0.61
2,1105153,2023,ORIX,49,3,5,1,21,24,0,0,0.375,193,46.2,37,4,12,5,42,1,0,17,14,2.7
3,1105153,2024,ORIX,17,0,1,0,4,4,0,0,0,63,14.2,12,0,7,0,13,0,0,3,3,1.84
4,1105153,2025,ORIX,14,0,0,0,0,0,0,0,0,55,13,12,1,6,0,11,0,0,3,3,2.08
5,31135134,2018,Hiroshima,53,6,2,0,5,11,0,0,0.75,293,67.1,62,4,36,2,30,2,0,29,28,3.74
6,31135134,2019,Hiroshima,19,3,5,0,0,0,1,0,0.375,404,91.2,101,14,27,4,52,2,0,52,44,4.32
7,31135134,2023,Hiroshima,14,1,0,0,1,2,0,0,1,67,16.2,15,1,2,1,13,0,0,6,6,3.24
8,31135134,2024,Hiroshima,20,6,4,0,0,0,1,1,0.6,452,106.1,102,9,29,5,61,0,0,43,37,3.13
9,51155155,2022,Yomiuri,31,5,5,0,5,5,0,0,0.5,347,78,81,8,32,4,52,0,0,50,35,4.04
10,51155155,2023,Yomiuri,12,5,5,0,0,0,0,0,0.5,281,69,70,5,13,4,64,0,0,27,26,3.39
11,51155155,2024,Yomiuri,21,1,7,0,1,1,0,0,0.125,291,75,66,8,10,2,43,1,0,28,26,3.12
12,51155155,2025,Yomiuri,10,4,3,0,0,0,1,1,0.571,232,60,51,5,5,1,44,0,0,13,12,1.8
13,51155157,2023,Seibu,39,0,1,3,1,1,0,0,0,186,45.2,32,4,23,0,34,5,1,15,15,2.96
14,51155157,2024,Seibu,6,1,4,0,0,0,1,1,0.2,139,32.1,30,3,12,0,13,0,0,12,10,2.78
15,51155130,2015,Nippon-Ham,18,8,6,0,0,0,1,1,0.571,453,103.1,113,13,32,3,81,2,0,60,55,4.79
16,51155130,2016,Nippon-Ham,22,11,9,0,0,0,2,1,0.55,640,156,150,13,38,2,103,3,1,52,51,2.94
17,51155130,2017,Nippon-Ham,25,10,13,0,0,0,4,0,0.435,726,169,194,21,39,4,88,5,0,97,89,4.74
