SearchID,Year,League,Team,Role,G,GS,CG,SHO,W,L,SV,HLD,HP,IP,BF,H,HR,BB,IBB,HBP,SO,WP,BK,R,ER,K%,BB%,HR%,BABIP,LOB%,WL%,ERA,RA-,FIP-,RA9-WAR,WAR
100004,1936.1S,JBL,Kinko,UC,2,2,1,0,1,0,,,,13,55,9,0,11,,0,10,0,0,4,3,0.182,0.2,0,0.273,0.8,1,2.08,52,97,0.5,0.2
100004,1937.1S,JBL,Nagoya,UC,24,22,7,1,5,11,,,,149.3,667,116,0,119,,3,53,4,0,72,45,0.079,0.178,0,0.242,0.697,0.313,2.71,103,121,1.3,0.1
100004,1937.2F,JBL,Nagoya,UC,13,11,3,0,2,5,,,,60.7,284,53,2,52,,1,21,4,0,44,27,0.074,0.183,0.007,0.251,0.601,0.286,4.01,145,126,-0.7,-0.1
100004,1938.1S,JBL,Nagoya,UC,3,1,0,0,0,0,,,,11.3,53,13,0,4,,0,5,2,0,8,4,0.094,0.075,0,0.302,0.529,,3.18,150,74,-0.2,0.3
100008,1938.2F,JBL,Hankyu,UC,13,11,7,0,6,4,,,,99.3,424,76,4,56,,4,34,2,1,47,41,0.08,0.132,0.009,0.229,0.683,0.6,3.71,106,114,0.7,0.4
100008,1936.1S,JBL,Hankyu,UC,2,2,0,0,0,1,,,,8.7,48,14,0,8,,0,3,1,0,10,8,0.063,0.167,0,0.389,0.545,0,8.31,195,109,-0.3,0.1
100008,1937.1S,JBL,Hankyu,UC,2,1,0,0,0,1,,,,5.3,33,7,1,10,,0,1,0,0,6,4,0.03,0.303,0.03,0.286,0.705,0,6.75,240,246,-0.3,-0.3
100008,1937.2F,JBL,Hankyu,UC,1,1,1,0,1,0,,,,9,37,6,0,5,,0,1,1,0,2,2,0.027,0.135,0,0.194,0.818,1,2,44,107,0.4,0.1
100008,1938.1S,JBL,Hankyu,UC,6,3,1,0,3,1,,,,27.3,116,16,1,22,,1,6,0,0,11,8,0.052,0.19,0.009,0.179,0.745,0.75,2.63,86,139,0.5,-0.2
100009,1940,JBL,Hankyu,UC,1,0,0,0,0,0,,,,3,12,0,0,3,,0,1,0,0,0,0,0.083,0.25,0,0,1,,0,0,165,0.2,0
100011,1939,JBL,Osaka,UC,48,30,25,8,28,7,,,,330,1326,248,4,91,,3,99,1,0,79,40,0.075,0.069,0.003,0.221,0.782,0.8,1.09,61,85,10.5,6.3
100011,1938.2F,JBL,Osaka,UC,7,4,2,0,4,2,,,,44.7,184,32,2,18,,0,14,0,0,18,15,0.076,0.098,0.011,0.204,0.678,0.667,3.02,91,101,0.7,0.5
100011,1937.1S,JBL,Osaka,UC,21,10,4,0,8,2,,,,92,393,85,1,25,,2,41,1,0,37,18,0.104,0.064,0.003,0.263,0.678,0.8,1.76,86,81,1.6,2.1
100011,1943,JBL,Hanshin,UC,52,39,39,10,24,15,,,,415.7,1656,299,1,123,,2,99,2,0,80,49,0.06,0.074,0.001,0.212,0.814,0.615,1.06,67,84,10.8,7.8
100011,1936.1S,JBL,Osaka,UC,9,7,4,0,5,2,,,,68,311,70,3,29,,3,39,0,0,42,30,0.125,0.093,0.01,0.29,0.613,0.714,3.97,105,92,0.5,1.2
100011,1940,JBL,Hanshin,UC,56,28,23,6,22,17,,,,347.3,1380,266,5,108,,4,88,0,0,94,70,0.064,0.078,0.004,0.227,0.765,0.564,1.81,79,96,7,4.5
100011,1936.2F,JBL,Osaka,UC,12,9,4,1,5,4,,,,75.7,318,60,1,28,,1,27,0,0,24,19,0.085,0.088,0.003,0.228,0.742,0.556,2.26,67,94,2.1,1.1
100011,1941,JBL,Hanshin,UC,42,23,21,2,18,17,,,,321.7,1264,234,2,102,,1,87,1,0,70,52,0.069,0.081,0.002,0.221,0.799,0.514,1.45,77,79,6.6,6.5
100011,1937.2F,JBL,Osaka,UC,19,13,6,2,9,4,,,,104.7,434,95,2,25,,0,35,0,0,42,29,0.081,0.058,0.005,0.255,0.666,0.692,2.49,80,79,2.2,2.4
100011,1953,PL,Mainichi,UC,2,1,0,0,0,1,,,,6.7,35,15,0,2,,0,1,0,0,9,8,0.029,0.057,0,0.469,0.471,0,10.8,334,91,-0.5,0.1
